"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSDARG00000104632"	0.208110943141262	-0.735273822773585	4.97973698749464	-0.147653144055608	0.882616511826028	NA
"ENSDARG00000100660"	206.276391123376	0.567711881934996	0.3425986492129	1.65707565759317	0.0975041798900399	0.789109773097541
"ENSDARG00000098417"	0	NA	NA	NA	NA	NA
"ENSDARG00000100422"	0	NA	NA	NA	NA	NA
"ENSDARG00000102128"	21.8203042760038	0.354575780080796	0.800368966839937	0.443015402609565	0.657754593865524	0.980505145256195
"ENSDARG00000103095"	36.8819336217134	0.741496932556136	0.656506306651712	1.12945896336913	0.258704271374652	0.920903554688848
"ENSDARG00000102226"	74.614328447399	0.935106869243852	0.485847736074169	1.92469121457654	0.0542680002509327	0.683476717991422
"ENSDARG00000104049"	102.993705923096	-0.164128708881489	0.406600151325604	-0.403661209535693	0.686461868119105	0.982767343816737
"ENSDARG00000102474"	15.0191550187436	-0.0327827790180976	0.94237362785457	-0.0347874537753478	0.972249225014272	0.998821791873737
"ENSDARG00000100143"	29.6048848505716	0.448345162248422	0.701804686700196	0.638846064645833	0.522923077983969	0.969070614006085
"ENSDARG00000104839"	0.208110943141262	-0.735273822773585	4.97973698749464	-0.147653144055608	0.882616511826028	NA
"ENSDARG00000104373"	10.2328917487258	0.0141445736759752	1.1081058213491	0.0127646416104506	0.989815566104206	0.998821791873737
"ENSDARG00000098311"	12.5320262998254	0.663095137334212	1.16288886750306	0.570213677217498	0.568532780639851	0.975260402353329
"ENSDARG00000102121"	0.220498074075036	2.11842726362418	4.96947642427089	0.426287818426464	0.669898133173718	NA
"ENSDARG00000102123"	5.58900372047082	3.09585613490617	1.65376898062547	1.87200036472765	0.0612065530523912	NA
"ENSDARG00000102141"	4.93393726906867	-0.145783183094514	1.62986804038522	-0.0894447768054021	0.928728439307704	NA
"ENSDARG00000105725"	0	NA	NA	NA	NA	NA
"ENSDARG00000099787"	12.0609965281519	0.960615102641255	1.09643359468368	0.876127024289501	0.380960982917729	0.954921323409391
"ENSDARG00000070546"	1.99532529442136	-1.64513270030512	2.6805825382784	-0.613722083469852	0.539398992816239	NA
"ENSDARG00000045914"	3411.38880213698	0.0711714825789193	0.21145949472953	0.336572650331697	0.736439076334912	0.987142415937963
"ENSDARG00000045913"	413.932152433137	0.220559139945936	0.272801596624301	0.808496514225641	0.418804811895044	0.958664650756675
"ENSDARG00000045911"	12.8626660413324	-1.2629142192756	1.09783436313161	-1.15036863636978	0.249992072259214	0.915728540870936
"ENSDARG00000045910"	164.898744418483	-0.320901769218824	0.344087269869543	-0.932617383201912	0.351017554874726	0.947957555929889
"ENSDARG00000045909"	5.4323677849491	-1.47854220974631	1.68180771381511	-0.879138677745924	0.379326088707647	NA
"ENSDARG00000025073"	843.912653983209	0.0738538252548054	0.254579219452438	0.290101546440648	0.771738552759941	0.988567200917247
"ENSDARG00000084828"	0.428609017216298	0.564022658688186	4.95162414447287	0.113906597559058	0.909311835514861	NA
"ENSDARG00000084784"	0	NA	NA	NA	NA	NA
"ENSDARG00000095951"	48.3285864217813	0.101616419487922	0.550030247319947	0.184746966158776	0.853427506531221	0.99649552223367
"ENSDARG00000093924"	5.14403466558021	0.572485974331869	1.57542287209983	0.363385592827417	0.71631686254932	NA
"ENSDARG00000108269"	0	NA	NA	NA	NA	NA
"ENSDARG00000084451"	0	NA	NA	NA	NA	NA
"ENSDARG00000106668"	0	NA	NA	NA	NA	NA
"ENSDARG00000031737"	1.20936037129555	4.09432812474322	3.54937353818966	1.15353542834815	0.24869068460325	NA
"ENSDARG00000099652"	35.9361779005285	0.366175212358215	0.619945292022922	0.590657300039108	0.554750063677055	0.974611886687589
"ENSDARG00000101047"	37.7588697903474	0.659504385598216	0.643681828558994	1.02458133248012	0.305560776404109	0.938825296612728
"ENSDARG00000102104"	0	NA	NA	NA	NA	NA
"ENSDARG00000099833"	73.2279818042695	0.200627842368831	0.471730101390441	0.425302183976544	0.670616401683437	0.981385443691627
"ENSDARG00000103870"	7.98253471154146	0.793348984235708	1.26502258706719	0.627142149354819	0.530566060304036	0.971247200449036
"ENSDARG00000107297"	1.4800927906841	0.766624009926467	2.73142467986852	0.280668185938544	0.778964912218347	NA
"ENSDARG00000096118"	428.999180491577	0.192967940741271	0.275212836561787	0.701158939939011	0.483203831000623	0.962389315767686
"ENSDARG00000045900"	75.4863671715213	0.807651065947277	0.452328600563038	1.78554056706109	0.0741736773310449	0.735276797188268
"ENSDARG00000016968"	466.199353896845	0.236181568736908	0.263996159087265	0.89464017034747	0.370979470920838	0.953492810179302
"ENSDARG00000102878"	179.256174789009	0.0989716610973365	0.34052973545128	0.290640290094421	0.771326442529572	0.988567200917247
"ENSDARG00000059311"	5.32745777686937	3.71088227228053	1.76627630977332	2.1009636214601	0.03564415977449	NA
"ENSDARG00000017386"	22.2459971468755	0.598144920943446	0.792444891378875	0.754809485745637	0.450363301481977	0.962389315767686
"ENSDARG00000045898"	45.4750084162897	-4.63060030876705	0.818907127475196	-5.65460984940238	1.5620067325403e-08	5.70399141453499e-06
"ENSDARG00000006060"	9.11850199020867	-0.830714069865314	1.25899424737554	-0.659823562813724	0.509367060548191	0.965823033033603
"ENSDARG00000103050"	1.65157072122202	2.95792583093268	3.24172700828577	0.912453708585672	0.361529927479884	NA
"ENSDARG00000104018"	844.686242523148	0.0246047417106348	0.248076290708657	0.0991821573933915	0.920993641337364	0.997365823721975
"ENSDARG00000070535"	3.41891341034941	-0.965453856141249	2.0034046086807	-0.481906576413952	0.629872314136434	NA
"ENSDARG00000013789"	3.97903570950282	-0.551482489025477	1.94526670240583	-0.283499680708782	0.776793826384341	NA
"ENSDARG00000063686"	411.634723229734	0.00135352561988461	0.280026763263514	0.00483355806463007	0.996143393663658	0.999104067903343
"ENSDARG00000087962"	118.159062690841	-0.349299989086503	0.383234126754603	-0.911453246725522	0.362056609031827	0.951335828435331
"ENSDARG00000099313"	148.57361519881	-0.20526944644802	0.407718686041714	-0.503458520483455	0.614641936389806	0.977065343147903
"ENSDARG00000103102"	0.220498074075036	2.11842726362418	4.96947642427089	0.426287818426464	0.669898133173718	NA
"ENSDARG00000107902"	0	NA	NA	NA	NA	NA
"ENSDARG00000102157"	0	NA	NA	NA	NA	NA
"ENSDARG00000098612"	0	NA	NA	NA	NA	NA
"ENSDARG00000100898"	0	NA	NA	NA	NA	NA
"ENSDARG00000102340"	0.844830903498823	-1.04508423178299	4.08434590862163	-0.255875544129827	0.798046939088489	NA
"ENSDARG00000099129"	44.0231542094375	0.495233210326134	0.572586293444924	0.864905807204358	0.387090489965853	0.954921323409391
"ENSDARG00000101813"	2029.43666865307	0.143673439394791	0.217804319500756	0.659644582458763	0.509481937339523	0.965823033033603
"ENSDARG00000107640"	3.90402710232176	-0.485920669762424	1.79303370183473	-0.27100476096194	0.786387370523506	NA
"ENSDARG00000106927"	25.1433619314359	0.293694651738185	0.743650322552734	0.394936494789672	0.692889755761871	0.984365184746535
"ENSDARG00000107853"	0.168277275391253	-0.580245302430955	4.98979168113238	-0.116286478376443	0.907425501600215	NA
"ENSDARG00000098551"	0	NA	NA	NA	NA	NA
"ENSDARG00000025601"	0	NA	NA	NA	NA	NA
"ENSDARG00000063672"	78.5803466089967	0.846259852029923	0.556372113360868	1.52103211449247	0.128251778467507	0.828539390065291
"ENSDARG00000018149"	0.416221886282524	-1.76391867197542	4.88285523958991	-0.361247381997661	0.717914524503369	NA
"ENSDARG00000095920"	17.8251066076133	-0.243631354571117	0.856180836624324	-0.284555953776875	0.775984360423859	0.989850481978714
"ENSDARG00000045886"	200.820995840093	-0.289283730723977	0.322939097466068	-0.895784167955608	0.370368047140389	0.953434135903337
"ENSDARG00000045885"	180.169396041872	0.64990330382967	0.336610487132414	1.93072803336045	0.0535166942436472	0.681530252845793
"ENSDARG00000007413"	280.540802342349	0.300570305232392	0.426875833363305	0.704116470740996	0.481360243647359	0.962389315767686
"ENSDARG00000097341"	3.76518281711701	0.327703659972978	1.7636514058504	0.185809768804604	0.852593943544282	NA
"ENSDARG00000045880"	86.6148513074835	0.565300422320048	0.448016158830955	1.26178578869818	0.207025877237562	0.899437797635635
"ENSDARG00000009657"	1223.87727524923	-0.213444149813513	0.226374428892948	-0.942881008501407	0.34574176999273	0.947901219978942
"ENSDARG00000093658"	388.148284530362	0.326417644722172	0.331320726287484	0.985201404028501	0.324525151113101	0.943015571983022
"ENSDARG00000026839"	915.324486063929	0.0860907053401189	0.240878091482378	0.357403634387467	0.72078965634643	0.98593893246049
"ENSDARG00000016979"	47.5340498330818	0.718649130691494	0.560331500604168	1.28254279817683	0.199652301600058	0.896618019706613
"ENSDARG00000070477"	408.064617845837	-0.151447624346932	0.267965806786224	-0.565175184712101	0.571954613659935	0.975996040388073
"ENSDARG00000045878"	119.133422826431	0.712717778048891	0.395448508898125	1.80230235292783	0.0714978485525777	0.725182341742654
"ENSDARG00000045877"	1498.72264286879	0.371330235041667	0.226428819821083	1.63994245668498	0.101017132044889	0.791346607610612
"ENSDARG00000079391"	42.4589180150706	-0.614539298851879	0.584430269168815	-1.05151860071499	0.293020471007051	0.932936274968723
"ENSDARG00000015921"	622.41684240073	-0.156533895863751	0.25902769885804	-0.604313347776524	0.545635333769817	0.971601096345811
"ENSDARG00000099520"	1.46770565975032	-0.129008773753698	2.75776988757081	-0.0467801082081346	0.962688483024512	NA
"ENSDARG00000061544"	0.168277275391253	-0.580245302430955	4.98979168113238	-0.116286478376443	0.907425501600215	NA
"ENSDARG00000108289"	0	NA	NA	NA	NA	NA
"ENSDARG00000020812"	0.830985699392762	0.354622731404779	4.13947689638583	0.0856684891065341	0.931729952060656	NA
"ENSDARG00000094007"	0	NA	NA	NA	NA	NA
"ENSDARG00000093685"	0	NA	NA	NA	NA	NA
"ENSDARG00000059196"	0	NA	NA	NA	NA	NA
"ENSDARG00000009262"	2.9082086540803	-0.142367972224549	2.19294473693763	-0.0649209119712524	0.948236970370494	NA
"ENSDARG00000018618"	502.592721983486	0.469785995182189	0.255202049781021	1.8408394273686	0.0656450930832208	0.710481413486801
"ENSDARG00000045874"	333.420360107128	-0.126685953055615	0.284907560475522	-0.444656339916608	0.656568125630885	0.980505145256195
"ENSDARG00000057468"	372.723958240058	0.22518274421555	0.274843283185176	0.819313252286514	0.412607713528661	0.958664650756675
"ENSDARG00000045873"	0.168277275391253	-0.580245302430955	4.98979168113238	-0.116286478376443	0.907425501600215	NA
"ENSDARG00000079143"	23.5252235676705	-0.0849339877029405	0.750715986657106	-0.113137310530906	0.909921695351295	0.996950654182629
"ENSDARG00000057714"	0.79261010481504	-2.70038522094202	4.14426040483288	-0.651596414596179	0.514661561306207	NA
"ENSDARG00000045224"	3.09980211816681	1.43867497742007	2.17831312788592	0.660453705669179	0.508962717487328	NA
"ENSDARG00000011246"	332.071950196433	0.187228911789393	0.285383844898056	0.656059952714824	0.511785550270836	0.965823033033603
"ENSDARG00000053709"	0.336554550782507	-1.48537058614267	4.90347548182352	-0.302921997193364	0.761949307148035	NA
"ENSDARG00000039724"	1.59614926739157	-0.371385170871307	2.69284247254867	-0.137915668910185	0.89030706674867	NA
"ENSDARG00000070441"	126.153534292934	-0.853793203614027	0.385562904679841	-2.21440702217707	0.0268007922801626	0.532975025273035
"ENSDARG00000011961"	91.3559665457052	0.892936808287948	0.505892904234268	1.76507082984198	0.0775518624324447	0.740501584399594
"ENSDARG00000008986"	3.14206418946962	0.584462049575137	2.0092315982672	0.290888342627693	0.771136717226519	NA
"ENSDARG00000008235"	202.344414590926	-0.409881337756072	0.320717830263941	-1.2780123182386	0.201245082944743	0.896618019706613
"ENSDARG00000107595"	0	NA	NA	NA	NA	NA
"ENSDARG00000004592"	0	NA	NA	NA	NA	NA
"ENSDARG00000006567"	493.04046039631	-0.0373261191341465	0.265534268528162	-0.140569875749155	0.888209747560043	0.99649552223367
"ENSDARG00000016231"	152.68406873856	-0.528007336889737	0.352473956251518	-1.49800383127587	0.134132255045278	0.835168150064926
"ENSDARG00000016749"	67.5350242292229	-0.0471978466308404	0.508607180836047	-0.0927982309515504	0.926063856443874	0.997365823721975
"ENSDARG00000004227"	0.609273423541326	1.38171625744417	4.6983564982253	0.29408501844551	0.768692938519517	NA
"ENSDARG00000006038"	344.242197765418	0.335167273013765	0.332574882489115	1.00779490773701	0.313552931052061	0.942283453001004
"ENSDARG00000045870"	93.277916837804	0.717218917570676	0.466480166908589	1.53751213545424	0.124167945598238	0.821857860962344
"ENSDARG00000060248"	358.574416213539	0.121351955487689	0.287405827267788	0.422232063425145	0.672855640213119	0.981472419378321
"ENSDARG00000017757"	166.083774418276	-0.298220006309876	0.367575568094994	-0.811316181473754	0.417184119814705	0.958664650756675
"ENSDARG00000030598"	0.208110943141262	-0.735273822773585	4.97973698749464	-0.147653144055608	0.882616511826028	NA
"ENSDARG00000077356"	0	NA	NA	NA	NA	NA
"ENSDARG00000097907"	0.220498074075036	2.11842726362418	4.96947642427089	0.426287818426464	0.669898133173718	NA
