"PGC"	"Mix1"
"ERCC-00002"	97.8140965048546	3e+07
"ERCC-00003"	6.37938313074518	1875000
"ERCC-00004"	149.376699995865	1.5e+07
"ERCC-00009"	11.2521857332618	1875000
"ERCC-00012"	0	228.88184
"ERCC-00013"	0.0223117886834429	1831.05468
"ERCC-00014"	0.00460601054068009	7324.21876
"ERCC-00016"	0	457.76368
"ERCC-00017"	0	228.88184
"ERCC-00019"	0.368583357981762	58593.75
"ERCC-00022"	2.58056187089727	468750
"ERCC-00024"	0	457.76368
"ERCC-00025"	0.0889040112100545	117187.5
"ERCC-00028"	0.00797695807797429	7324.21876
"ERCC-00031"	0.010561174725379	3662.10938
"ERCC-00033"	0	3662.10938
"ERCC-00034"	0.0678184954028628	14648.4375
"ERCC-00035"	0.460004582496517	234375
"ERCC-00039"	0.0203017176308805	7324.21876
"ERCC-00040"	0	1831.05468
"ERCC-00041"	0	457.76368
"ERCC-00042"	3.51277266315435	937500
"ERCC-00043"	7.2840102045341	937500
"ERCC-00044"	0.119562364732729	234375
"ERCC-00046"	130.97874814985	7500000
"ERCC-00048"	0.00302888529170395	28.61024
"ERCC-00051"	1.35977051810919	117187.5
"ERCC-00053"	0.308395593337129	58593.75
"ERCC-00054"	0.0438635651002966	29296.875
"ERCC-00057"	0	28.61024
"ERCC-00058"	0.00793482625713992	3662.10938
"ERCC-00059"	0.331942750749482	29296.875
"ERCC-00060"	4.13642644502223	468750
"ERCC-00061"	0	114.44092
"ERCC-00062"	0.287835887114654	117187.5
"ERCC-00067"	0	7324.21876
"ERCC-00069"	0.0396392375906374	3662.10938
"ERCC-00071"	0.75818377245793	117187.5
"ERCC-00073"	0.00996568560321829	1831.05468
"ERCC-00074"	929.341849375257	3e+07
"ERCC-00075"	0	28.61024
"ERCC-00076"	2.33539322504017	468750
"ERCC-00077"	0.143078771874777	7324.21876
"ERCC-00078"	0.266273484818316	58593.75
"ERCC-00079"	0.317261624591897	117187.5
"ERCC-00081"	0	457.76368
"ERCC-00083"	0.00293997476455021	57.22046
"ERCC-00084"	0.0967293105632295	58593.75
"ERCC-00085"	0.0818803872221768	14648.4375
"ERCC-00086"	0	228.88184
"ERCC-00092"	1.53707844340563	468750
"ERCC-00095"	3.35067964615001	234375
"ERCC-00096"	65.9938233483558	3e+07
"ERCC-00097"	0	915.52734
"ERCC-00098"	0	114.44092
"ERCC-00099"	0.0289337072013438	29296.875
"ERCC-00104"	0	457.76368
"ERCC-00108"	14.8204127880976	1875000
"ERCC-00109"	0.0112113963036206	1831.05468
"ERCC-00111"	2.03131552182782	937500
"ERCC-00112"	0.875475830371104	234375
"ERCC-00113"	27.0776575773015	7500000
"ERCC-00116"	0.590065191292714	937500
"ERCC-00117"	0	114.44092
"ERCC-00120"	0.0504512833662926	1831.05468
"ERCC-00123"	0	457.76368
"ERCC-00126"	0.0215002090115944	29296.875
"ERCC-00130"	71.3030830365301	6e+07
"ERCC-00131"	1.35618633574691	234375
"ERCC-00134"	0.0219317825501483	3662.10938
"ERCC-00136"	8.82780786586535	3750000
"ERCC-00137"	0.0167857777059794	1831.05468
"ERCC-00138"	0	228.88184
"ERCC-00142"	0.0060946332847268	457.76368
"ERCC-00143"	0.0421571381416753	7324.21876
"ERCC-00144"	0.323921829262971	58593.75
"ERCC-00145"	2.26069952029398	1875000
"ERCC-00147"	0.00293710088892504	1831.05468
"ERCC-00148"	0.0790698476150083	29296.875
"ERCC-00150"	0.0525713387911361	7324.21876
"ERCC-00154"	0.0447620738826118	14648.4375
"ERCC-00156"	0	915.52734
"ERCC-00157"	0.0412808232886991	14648.4375
"ERCC-00158"	0	915.52734
"ERCC-00160"	0.230505100853443	14648.4375
"ERCC-00162"	0.712384554420495	117187.5
"ERCC-00163"	0.066401197997134	29296.875
"ERCC-00164"	0	915.52734
"ERCC-00165"	0.609889673232277	117187.5
"ERCC-00168"	0.0205396283843674	915.52734
"ERCC-00170"	0.152729246224102	29296.875
"ERCC-00171"	36.3711904591698	7500000
