"rpkm.high.pgc1.PGC1"	"PGC2"	"MeanPGC"	"Mix1"
"ERCC-00002"	86.8513633781225	93.2762320283467	90.0637977032346	3e+07
"ERCC-00003"	8.58298340464094	7.18507968859345	7.8840315466172	1875000
"ERCC-00004"	153.051327240869	144.521003041799	148.786165141334	1.5e+07
"ERCC-00009"	11.8252510041833	12.6650027791458	12.2451268916645	1875000
"ERCC-00012"	0	0	0	228.88184
"ERCC-00013"	0.00264142484457434	0.00822013657263707	0.0054307807086057	1831.05468
"ERCC-00014"	0	0	0	7324.21876
"ERCC-00016"	0.00505751486828451	0	0.00252875743414226	457.76368
"ERCC-00017"	0	0	0	228.88184
"ERCC-00019"	0.215415578939509	0.460668026393665	0.338041802666587	58593.75
"ERCC-00022"	2.16269033266395	2.52939403501672	2.34604218384033	468750
"ERCC-00024"	0	0	0	457.76368
"ERCC-00025"	0.137004374686688	0.129906190409699	0.133455282548193	117187.5
"ERCC-00028"	0.0151098851286093	0.00783701516305694	0.0114734501458331	7324.21876
"ERCC-00031"	0.00937729030938516	0	0.00468864515469258	3662.10938
"ERCC-00033"	0.00422209945482901	0.00328480234950087	0.00375345090216494	3662.10938
"ERCC-00034"	0.0733066679141926	0.065180278220714	0.0692434730674533	14648.4375
"ERCC-00035"	0.498626209244107	0.619124197881498	0.558875203562802	234375
"ERCC-00039"	0.0374939548208227	0.0239346679304171	0.0307143113756199	7324.21876
"ERCC-00040"	0	0.00892724509501445	0.00446362254750723	1831.05468
"ERCC-00041"	0.00190220256186815	0.00197322351476255	0.00193771303831535	457.76368
"ERCC-00042"	4.19552251500558	3.62933091499133	3.91242671499845	937500
"ERCC-00043"	10.0955412481909	10.3361266845549	10.2158339663729	937500
"ERCC-00044"	0.0812352388186045	0.107250501625918	0.094242870222261	234375
"ERCC-00046"	134.643079191179	145.684294173612	140.163686682396	7500000
"ERCC-00048"	0	0	0	28.61024
"ERCC-00051"	0.942506657680086	0.880734632877484	0.911620645278785	117187.5
"ERCC-00053"	0.388049322621102	0.348433081284201	0.368241201952651	58593.75
