"Soma"	"Mix2"
"ERCC-00002"	133.511326600357	6e+07
"ERCC-00003"	9.71181835047568	3750000
"ERCC-00004"	28.3984644762884	3750000
"ERCC-00009"	8.68587865070005	1875000
"ERCC-00012"	0	343.32276
"ERCC-00013"	0.0107520351882286	3662.10938
"ERCC-00014"	0.0071028263113653	14648.4375
"ERCC-00016"	0	686.6455
"ERCC-00017"	0	57.22046
"ERCC-00019"	0.0782427604132211	14648.4375
"ERCC-00022"	3.76194669682455	937500
"ERCC-00024"	0	686.6455
"ERCC-00025"	0.0566396076314708	117187.5
"ERCC-00028"	0	1831.05468
"ERCC-00031"	0.0152682678947077	3662.10938
"ERCC-00033"	0	915.52734
"ERCC-00034"	0.0477436789202126	14648.4375
"ERCC-00035"	0.416699405503723	234375
"ERCC-00039"	0.0375681921387619	10986.32812
"ERCC-00040"	0.00233538828819588	2746.58204
"ERCC-00041"	0	915.52734
"ERCC-00042"	2.01437855258205	937500
"ERCC-00043"	14.0174251218041	1875000
"ERCC-00044"	0.159323583010623	351562.5
"ERCC-00046"	228.505020160328	1.5e+07
"ERCC-00048"	0.00175154121614691	57.22046
"ERCC-00051"	0.849740404306484	117187.5
"ERCC-00053"	0.212308026199626	58593.75
"ERCC-00054"	0.0824375019103306	43945.3126
"ERCC-00057"	0	42.91534
"ERCC-00058"	0.00305902972960869	5493.16406
"ERCC-00059"	0.350815356114819	58593.75
"ERCC-00060"	2.77074396036786	468750
"ERCC-00061"	0	228.88184
"ERCC-00062"	0.0713354968030742	29296.875
"ERCC-00067"	0.0188861835480189	7324.21876
"ERCC-00069"	0.0122253571603711	7324.21876
"ERCC-00071"	0.774039348154942	175781.25
"ERCC-00073"	0.0172888446409725	1831.05468
"ERCC-00074"	1088.98790806382	4.5e+07
"ERCC-00075"	0	28.61024
"ERCC-00076"	2.41684313951875	703125
"ERCC-00077"	0.229124688318822	14648.4375
"ERCC-00078"	0.255467489845911	117187.5
"ERCC-00079"	0.477550641142763	234375
"ERCC-00081"	0.00650759882553459	915.52734
"ERCC-00083"	0	14.30512
"ERCC-00084"	0.132849291114435	87890.625
"ERCC-00085"	0.0144107846029907	3662.10938
"ERCC-00086"	0	457.76368
"ERCC-00092"	0.332356504074567	117187.5
"ERCC-00095"	0.493578263320202	58593.75
"ERCC-00096"	46.3874694753295	3e+07
"ERCC-00097"	0	228.88184
"ERCC-00098"	0	171.66138
"ERCC-00099"	0.0205929349501361	43945.3126
"ERCC-00104"	0	457.76368
"ERCC-00108"	2.68959950911239	468750
"ERCC-00109"	0.00324165837018234	1831.05468
"ERCC-00111"	2.10111641999408	1406250
"ERCC-00112"	1.07218992022785	468750
"ERCC-00113"	26.3897542058541	11250000
"ERCC-00116"	0.0689426328613768	234375
"ERCC-00117"	0.00152951486480435	114.44092
"ERCC-00120"	0	2746.58204
"ERCC-00123"	0	114.44092
"ERCC-00126"	0.031082806554879	29296.875
"ERCC-00130"	11.9461263663905	1.5e+07
"ERCC-00131"	0.232121239041539	58593.75
"ERCC-00134"	0.00634134630079466	915.52734
"ERCC-00136"	1.73080079779656	937500
"ERCC-00137"	0.00970686528724993	3662.10938
"ERCC-00138"	0	228.88184
"ERCC-00142"	0	457.76368
"ERCC-00143"	0.0598383672618353	10986.32812
"ERCC-00144"	0.067821759507012	14648.4375
"ERCC-00145"	2.38284911582624	2812500
"ERCC-00147"	0.00169846420959701	457.76368
"ERCC-00148"	0.0457244443794141	29296.875
"ERCC-00150"	0.0514476924645898	7324.21876
"ERCC-00154"	0.00970686528724993	3662.10938
"ERCC-00156"	0	228.88184
"ERCC-00157"	0.0682052556003037	21972.6562
"ERCC-00158"	0.0186103386081744	915.52734
"ERCC-00160"	0.264254056749938	29296.875
"ERCC-00162"	0.607968998497984	175781.25
"ERCC-00163"	0.201591749252887	58593.75
"ERCC-00164"	0.00340025222390947	1373.29102
"ERCC-00165"	0.699395228363103	234375
"ERCC-00168"	0.00678722221256928	1831.05468
"ERCC-00170"	0.0390646768207311	7324.21876
"ERCC-00171"	25.8152064055293	7500000
