"rpkm.high.soma1.Soma1"	"Soma2"	"MeanSoma"	"Mix2"
"ERCC-00002"	62.9010886277101	165.25027296379	114.07568079575	6e+07
"ERCC-00003"	15.4821887000723	13.638969753889	14.5605792269807	3750000
"ERCC-00004"	36.5432896214917	26.3675019277924	31.455395774642	3750000
"ERCC-00009"	4.79656188781205	10.556957905456	7.67675989663405	1875000
"ERCC-00012"	0	0	0	343.32276
"ERCC-00013"	0.0144707453671595	0	0.00723537268357976	3662.10938
"ERCC-00014"	0.0014936589494973	0.00488330127124565	0.00318848011037148	14648.4375
"ERCC-00016"	0	0	0	686.6455
"ERCC-00017"	0	0	0	57.22046
"ERCC-00019"	0.0257207761857276	0.0296789459249308	0.0276998610553292	14648.4375
"ERCC-00022"	1.95910641450998	4.16113839177053	3.06012240314026	937500
"ERCC-00024"	0.00181784239065064	0	0.000908921195325318	686.6455
"ERCC-00025"	0.0312734530435704	0.0527195719488992	0.0419965124962348	117187.5
"ERCC-00028"	0.000862268602998886	0	0.000431134301499443	1831.05468
"ERCC-00031"	0.00342482784319417	0.00839773338121945	0.00591128061220681	3662.10938
"ERCC-00033"	0.00144564320680822	0	0.00072282160340411	915.52734
"ERCC-00034"	0.0277296782338307	0.0797166584853147	0.0537231683595727	14648.4375
"ERCC-00035"	0.197459510086745	0.435545097586839	0.316502303836792	234375
"ERCC-00039"	0.019750611920042	0.0258287042914263	0.0227896581057342	10986.32812
"ERCC-00040"	0	0	0	2746.58204
"ERCC-00041"	0	0.00425874357746334	0.00212937178873167	915.52734
"ERCC-00042"	3.77839695928557	2.9660088334656	3.37220289637558	937500
"ERCC-00043"	17.0470755677573	14.6151836849037	15.8311296263305	1875000
"ERCC-00044"	0.0606870013321707	0.0950701875086669	0.0778785944204188	351562.5
"ERCC-00046"	330.262568831176	210.712499340236	270.487534085706	1.5e+07
"ERCC-00048"	0.000982221291722521	0	0.000491110645861261	57.22046
"ERCC-00051"	1.37975564342639	0.418538127934061	0.899146885680227	117187.5
"ERCC-00053"	0.276212532945	0.280252803162104	0.278232668053552	58593.75
