	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSDARG00000100660	26.076	-2.30760879	0.79226063	-2.912688959	0.003583313	0.014793403
ENSDARG00000102128	38.77900205	-2.226764088	0.688491377	-3.23426576	0.001219559	0.005947251
ENSDARG00000103095	102.4093621	-1.953772739	0.446640181	-4.374377458	1.22E-05	0.000105522
ENSDARG00000102226	88.38514566	-2.41629044	0.490615311	-4.925020454	8.44E-07	9.68E-06
ENSDARG00000101047	222.7491049	-0.900661158	0.319146532	-2.822092886	0.004771136	0.018791793
ENSDARG00000045900	177.7156993	-1.538368999	0.362670403	-4.241782584	2.22E-05	0.000179354
ENSDARG00000099313	751.8867938	-0.935049137	0.227231223	-4.114967665	3.87E-05	0.000290774
ENSDARG00000045880	22.80881671	-1.98407216	0.816885747	-2.428824552	0.015147861	0.048342682
ENSDARG00000006038	209.1763045	-0.760302947	0.308007244	-2.468458003	0.013569657	0.044308002
ENSDARG00000045870	74.468683	-1.314911147	0.462882004	-2.840704833	0.004501395	0.017902048
ENSDARG00000017757	56.85481288	-2.047286787	0.536700774	-3.814577665	0.000136416	0.000880374
ENSDARG00000006283	180.1940554	-0.812661759	0.329051591	-2.469709256	0.013522291	0.044168367
ENSDARG00000075281	54.74400418	-1.479475338	0.543595608	-2.72164697	0.006495749	0.024222444
ENSDARG00000045842	151.1828687	-1.021539947	0.348249756	-2.933354379	0.003353209	0.014018328
ENSDARG00000009607	619.155232	-0.806642409	0.240922047	-3.348146912	0.000813539	0.004199637
ENSDARG00000054321	8.721099486	-4.120822592	1.548536105	-2.6611085	0.007788386	0.028160414
ENSDARG00000068701	159.9960573	-1.802072628	0.377786262	-4.770085121	1.84E-06	1.95E-05
ENSDARG00000068705	54.10751578	-1.538619369	0.531074481	-2.89718189	0.003765314	0.015382645
ENSDARG00000102702	66.19511462	-2.157277685	0.523134054	-4.123756935	3.73E-05	0.000281194
ENSDARG00000006029	207.3065374	-0.983373692	0.320500861	-3.068240404	0.002153233	0.009705731
ENSDARG00000086740	127.2415387	-1.008826691	0.376281231	-2.681044408	0.007339278	0.026785083
ENSDARG00000075025	539.1115051	-0.6419796	0.243551374	-2.635910406	0.008391188	0.029970493
ENSDARG00000002663	122.0117493	-1.302425972	0.377407166	-3.450983687	0.000558547	0.003033446
ENSDARG00000102020	31.72039161	-1.784361775	0.683933837	-2.608968409	0.009081563	0.032005588
ENSDARG00000039681	272.5558736	-2.238020398	0.300525667	-7.447019159	9.55E-14	3.18E-12
ENSDARG00000045790	453.3653551	-0.86801091	0.290336222	-2.989674884	0.002792745	0.012088528
ENSDARG00000025859	421.7417656	-1.105433666	0.256816703	-4.304368265	1.67E-05	0.000139927
ENSDARG00000058030	2280.240819	-0.781445473	0.195284158	-4.001581497	6.29E-05	0.000443657
ENSDARG00000045704	204.2088361	-1.069138019	0.316785609	-3.374957663	0.00073827	0.003866201
ENSDARG00000003570	830.7460502	-1.15182196	0.222133059	-5.185279324	2.16E-07	2.83E-06
