	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSDARG00000104373	18.1751553	3.386205042	1.083091098	3.126426805	0.001769445	0.008203132
ENSDARG00000070546	47.16272442	4.913388432	0.844632892	5.817188126	5.98E-09	1.03E-07
ENSDARG00000045914	1477.994646	1.151874295	0.224618964	5.128125761	2.93E-07	3.71E-06
ENSDARG00000025073	2960.83356	2.392477473	0.22818576	10.48477989	1.01E-25	1.18E-23
ENSDARG00000096118	275.7101189	1.29939879	0.293361622	4.429341446	9.45E-06	8.46E-05
ENSDARG00000045898	128.2025437	1.699674277	0.381159142	4.459224746	8.23E-06	7.49E-05
ENSDARG00000104018	595.0546838	2.169196955	0.258481083	8.392091722	4.78E-17	2.31E-15
ENSDARG00000101813	1441.417839	1.843864298	0.216846423	8.50308838	1.85E-17	9.32E-16
ENSDARG00000045886	138.3613719	1.209865389	0.457119295	2.646716954	0.008127735	0.02919626
ENSDARG00000026839	394.9557493	1.032865181	0.271897452	3.798730641	0.000145439	0.000931402
ENSDARG00000015921	519.130252	1.324675395	0.245390628	5.398231409	6.73E-08	9.63E-07
ENSDARG00000045874	473.2603083	0.962247949	0.255076452	3.772390358	0.000161691	0.00102117
ENSDARG00000008986	108.6820295	2.968634946	0.450749024	6.586004151	4.52E-11	1.10E-09
ENSDARG00000107526	14.6268524	2.664869286	1.097561897	2.427989979	0.015182763	0.048413817
ENSDARG00000039356	156.4990651	1.50169468	0.43073191	3.486378987	0.000489607	0.002699519
ENSDARG00000039350	1038.639381	0.625031623	0.220770534	2.831136982	0.004638285	0.018358962
ENSDARG00000097044	26.61290227	2.450998707	0.772348874	3.173434686	0.001506468	0.007140933
ENSDARG00000045853	68.09308269	1.655818513	0.514317354	3.219449043	0.001284372	0.006212437
ENSDARG00000030694	386.3547888	1.4044656	0.292252061	4.805665346	1.54E-06	1.66E-05
ENSDARG00000045843	908.6540292	1.838575003	0.227839114	8.069619718	7.05E-16	2.98E-14
ENSDARG00000045836	214.8217908	1.379609895	0.325088836	4.24379352	2.20E-05	0.000177829
ENSDARG00000017355	13.24445228	5.644118796	1.738916008	3.245768495	0.001171341	0.00573655
ENSDARG00000070220	16.5127976	3.036760269	1.023427646	2.967244711	0.003004817	0.012861609
ENSDARG00000098745	95.65308813	8.536475625	1.515154841	5.634061547	1.76E-08	2.81E-07
ENSDARG00000099281	301.5670601	1.096318487	0.286336457	3.828777162	0.000128782	0.0008356
ENSDARG00000068708	335.3521382	1.022752603	0.282701187	3.617786735	0.000297133	0.001749885
ENSDARG00000070314	94.13462667	1.210278789	0.439369951	2.754577975	0.005876788	0.022282339
ENSDARG00000018688	160.685865	1.076092541	0.341784223	3.148455861	0.001641355	0.007666714
ENSDARG00000078073	188.9718109	1.084049714	0.352971568	3.071209731	0.002131933	0.00962102
ENSDARG00000026052	16.32745908	2.600339402	1.01506688	2.561741943	0.010414867	0.03582201
ENSDARG00000101967	21.94375949	7.861953711	1.664455991	4.723437421	2.32E-06	2.41E-05
ENSDARG00000039185	457.8099569	1.013318467	0.248448075	4.078592555	4.53E-05	0.000333827
ENSDARG00000091656	570.9175086	2.091674521	0.286464695	7.301683443	2.84E-13	9.03E-12
ENSDARG00000045705	32.08396108	3.384042058	0.778119936	4.348998015	1.37E-05	0.000117076
ENSDARG00000045706	78.94211636	1.669167999	0.480338288	3.474984282	0.000510883	0.002804743
ENSDARG00000057983	184.982382	2.20909604	0.44558534	4.957739492	7.13E-07	8.32E-06
ENSDARG00000070126	30.25917247	1.872568216	0.7446973	2.514536061	0.011918911	0.039905103
ENSDARG00000057929	350.763715	0.906439101	0.273369436	3.315802651	0.000913803	0.004650658
ENSDARG00000018820	41.73131143	4.066890742	0.771524897	5.271237207	1.36E-07	1.84E-06
ENSDARG00000045748	33.42677146	3.205099588	0.768708105	4.16946246	3.05E-05	0.000236697
ENSDARG00000045758	12.6237003	5.604127154	1.765816759	3.173674236	0.001505225	0.007136805
ENSDARG00000019235	27.03822548	3.817795451	0.876555144	4.355453819	1.33E-05	0.000114188
ENSDARG00000005451	822.3641941	2.004989526	0.227368444	8.818240085	1.16E-18	6.72E-17
