Names	total	elements
DownregTdrd7/Upreg PGC	1598	ENSDARG00000037925
		ENSDARG00000002333
		ENSDARG00000061168
		ENSDARG00000016584
		ENSDARG00000055506
		ENSDARG00000104702
		ENSDARG00000079463
		ENSDARG00000063559
		ENSDARG00000098944
		ENSDARG00000027639
		ENSDARG00000037924
		ENSDARG00000098689
		ENSDARG00000062757
		ENSDARG00000062983
		ENSDARG00000099336
		ENSDARG00000060962
		ENSDARG00000105292
		ENSDARG00000096306
		ENSDARG00000093469
		ENSDARG00000092934
		ENSDARG00000025081
		ENSDARG00000073891
		ENSDARG00000078754
		ENSDARG00000055099
		ENSDARG00000076716
		ENSDARG00000056079
		ENSDARG00000005218
		ENSDARG00000018553
		ENSDARG00000040179
		ENSDARG00000055043
		ENSDARG00000025808
		ENSDARG00000011373
		ENSDARG00000043624
		ENSDARG00000019874
		ENSDARG00000055445
		ENSDARG00000026595
		ENSDARG00000025174
		ENSDARG00000013329
		ENSDARG00000063101
		ENSDARG00000028475
		ENSDARG00000100505
		ENSDARG00000074289
		ENSDARG00000039203
		ENSDARG00000093353
		ENSDARG00000007601
		ENSDARG00000002127
		ENSDARG00000005458
		ENSDARG00000087538
		ENSDARG00000062651
		ENSDARG00000086712
		ENSDARG00000017367
		ENSDARG00000013749
		ENSDARG00000104017
		ENSDARG00000093201
		ENSDARG00000012378
		ENSDARG00000069538
		ENSDARG00000005625
		ENSDARG00000042332
		ENSDARG00000006849
		ENSDARG00000098700
		ENSDARG00000039310
		ENSDARG00000045305
		ENSDARG00000014945
		ENSDARG00000089586
		ENSDARG00000029239
		ENSDARG00000043236
		ENSDARG00000020509
		ENSDARG00000104768
		ENSDARG00000101057
		ENSDARG00000101039
		ENSDARG00000011926
		ENSDARG00000100631
		ENSDARG00000005593
		ENSDARG00000051785
		ENSDARG00000098678
		ENSDARG00000039850
		ENSDARG00000103388
		ENSDARG00000027609
		ENSDARG00000033889
		ENSDARG00000043986
		ENSDARG00000010252
		ENSDARG00000098497
		ENSDARG00000076618
		ENSDARG00000079393
		ENSDARG00000087666
		ENSDARG00000103785
		ENSDARG00000075721
		ENSDARG00000003934
		ENSDARG00000078359
		ENSDARG00000088428
		ENSDARG00000011301
		ENSDARG00000014303
		ENSDARG00000069563
		ENSDARG00000031119
		ENSDARG00000013968
		ENSDARG00000014498
		ENSDARG00000069331
		ENSDARG00000073792
		ENSDARG00000090081
		ENSDARG00000052734
		ENSDARG00000043046
		ENSDARG00000070231
		ENSDARG00000028401
		ENSDARG00000070606
		ENSDARG00000040910
		ENSDARG00000063573
		ENSDARG00000099730
		ENSDARG00000094896
		ENSDARG00000043781
		ENSDARG00000062593
		ENSDARG00000042940
		ENSDARG00000102906
		ENSDARG00000097372
		ENSDARG00000044752
		ENSDARG00000039459
		ENSDARG00000063021
		ENSDARG00000043963
		ENSDARG00000087181
		ENSDARG00000001734
		ENSDARG00000043684
		ENSDARG00000004774
		ENSDARG00000074527
		ENSDARG00000058445
